
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
-------  ------    -----      -----     ------     --  -- -----------
    192      13    12272      19736      15.81    428   0 audiodg
    163      12     2436       9144       1.02   2560   0 BTDevMgr
    260      24     3916      18252       0.19   8068   1 BTServer
    129      10     1792       9388       0.05   1256   1 chrome
   1731     107    87604     141724     248.28   2624   1 chrome
    370      34    82324     103668       5.25   5044   1 chrome
    182       9     1728       7984       0.05   5164   1 chrome
    334      36    75420      95600      31.08   5964   1 chrome
    345      34    81316     100284      14.11   7000   1 chrome
    298      45   156236     193308      45.25   7204   1 chrome
    381      38    74076     567532      23.36   7404   1 chrome
    282      23    42236      50596       2.20   7732   1 chrome
    402      27   105228     123048     104.94   8756   1 chrome
     83       7     1160       5008       0.02   2904   0 conhost
     94       7     1340       5500       0.83   3140   0 conhost
     94       7     1328       5480       0.83   3164   0 conhost
     94       7     1332       5484       0.81   3636   0 conhost
     94       7     1352       5500       1.00   3676   0 conhost
     94       7     1352       5492       0.91   3688   0 conhost
     94       7     1336       5492       0.91   4032   0 conhost
    202      13     4212      15088       0.39   8344   1 conhost
    646      19     1684       4568       2.36    688   0 csrss
    532      15     2024       6616       7.09    784   1 csrss
    125       9     3780      11300       0.08   1904   0 dllhost
    227      14     4476      13664       0.34   4616   0 dllhost
    139       8     1884      10196       0.08   7428   1 dllhost
    323      24    31292      49384      63.84    676   1 dwm
     43       5     1032       3616       0.06   3008   1 esif_assist_64
    103       7     1512       5760       0.05   2568   0 esif_uf
   2024     160    49660     121428      21.63   1208   1 explorer
    549      38    36356      50204       1.22   8908   1 HPAudioSwitch
    444      38    16456      33780       0.72   4200   0 HPJumpStartBridge
    100       8     1148        180       0.05   6856   1 HPJumpStartProvider
    150      10     1468       8452       2.91    480   1 HPMSGSVC
    164      12     1756       9340       0.08   5224   1 HPRadioMgr64
    747      69    46364      65432       8.31   4176   0 HPSupportSolutionsFrameworkServ
    165       9     1440       7976       0.09   2648   0 HPWMISVC
    158      19     2504       9520       0.25   2532   0 httpd
    264      27     4584       9492       0.25   3808   0 httpd
      0       0        0          4                 0   0 Idle
    129       8     1536       7792       0.05   1772   0 igfxCUIService
    174      13     3756      12844       0.14   5404   1 igfxEM
    129       7     1324       7060       0.02   2628   0 IntelCpHDCPSvc
    140       9     1640       7472       0.03   2604   0 IntelCpHeciSvc
    121       9     1236       6564       0.02   2224   0 jhi_service
    135      10     1384       7528       0.08   5428   1 jusched
   1215      25     6092      16268       7.25    944   0 lsass
    178      12     2716      10008       0.19   4320   0 McAPExe
    250      12     3068      10868       0.06   9000   0 McClientAnalytics
    334      18     5976      18804       3.45   7396   0 McCSPServiceHost
    832      33   177372     123512     118.73   1828   0 mcshield
   1284      53    33928      39892      52.33   4252   0 McSvHost
    455      34     9948      30776       0.64   6576   1 McUICnt
    149      13     1956       7196       0.98   2576   0 mDNSResponder
      0       0       76      25000       0.69   1952   0 Memory Compression
    112       8     1428       6228       0.08   3432   0 mfefire
    188      14     2416       9656       0.84   4228   0 mfefire
    167      10     2060       7892       0.20   2552   0 mfemms
    120       8     1616       7088       0.03   2584   0 mfevtps
    158      10     3628       8788       8.67   3264   0 mfevtps
    288      18     4640      15708       0.33   4912   0 ModuleCoreService
    198      12     2792       9772       0.22   4784   0 msdtc
    115       8     1668       6156       0.08   6060   0 NisSrv
    391      28     6292      27112       0.36   6584   1 OneDrive
    219      13     2864      12068       0.17   2856   0 PEFService
    740      43    59792      76276       5.72   5308   1 powershell
    204      26    30320      26008       0.36   5992   0 PresentationFontCache
    276      14     5952      14136       0.19   1692   1 RAVBg64
    117       7     1364       6944       0.02   3740   0 RichVideo64
     89       7     1196       4668       0.02   3124   0 rotatelogs
     90       7     1236       4760       0.00   3624   0 rotatelogs
     89       7     1180       4656       0.00   3660   0 rotatelogs
     89       7     1192       4664       0.00   3668   0 rotatelogs
     90       7     1232       4752       0.00   4024   0 rotatelogs
     89       7     1196       4676       0.00   4088   0 rotatelogs
    185      10     1884       8388       0.08   1496   0 RtkAudioService64
    410      15     8536      18044       0.27   6280   1 RtkNGUI64
    574      32    12592      40356      12.52   5856   1 RuntimeBroker
    718      70    32112      32196      30.36   2416   0 SearchIndexer
   1102      94    76140     135732       4.42   4712   1 SearchUI
    386       9     3496       7824       3.25    936   0 services
    978      45    38084      88728       6.58   6832   1 ShellExperienceHost
    367      15     5052      20848       6.06   6988   1 sihost
   1431      78    66528     103896      10.19   1180   1 Skype
     51       2      372       1120       0.52    404   0 smss
    502      27     7480      23060       1.13   2208   0 spoolsv
    736      23     8252      23992       6.28    348   0 svchost
    762      17     5628      11336       8.19    588   0 svchost
   2899      84    32948      66716      84.66    616   0 svchost
    561      40    17960      28596      12.50   1004   0 svchost
    739      42    68200      77400      55.19   1324   0 svchost
    651      23    14940      23164       2.52   1332   0 svchost
    961      39     9400      21696       3.77   1348   0 svchost
    613      56     9028      21264       6.05   1792   0 svchost
    352      19     3652      13116       0.64   1820   0 svchost
    462      26     9364      28232       1.53   1964   0 svchost
    252      11     2432       9984       0.31   2036   0 svchost
    135      20     3872      10140       0.08   2496   0 svchost
    247      20     2496       8372       1.06   4072   0 svchost
    385      19     5084      16488       0.70   4180   0 svchost
    129      10     1604       6820       1.84   4648   0 svchost
    528      34    12620      38016       0.73   6488   1 svchost
    274      35     7332      21248       8.95   6824   0 svchost
    490      16     6080      21836       0.27   4400   1 SynTPEnh
    199       5      996       4464       0.00   2868   0 SynTPEnhService
     60       6      980       5420       0.00   6588   1 SynTPHelper
   1619       0      124        120     216.81      4   0 System
    278      16     3592      14844       4.44   6400   1 TabTip
     69       7     1256       4740       0.02   3404   1 TabTip32
    394      36     6888      20756       0.56   6692   1 taskhostw
    357      22     4948      17516       0.83   2968   0 TeamViewer_Service
    152      13     2816      11304       0.23   7292   1 TSVNCache
    143      11     1760       7028       0.11   2996   0 vmnat
     78       7     7384       4944       0.13   3020   0 vmnetdhcp
    301      16     5316      11896       6.95   2728   0 vmware-authd
    129      11     1604       8200       0.03   5260   1 vmware-tray
    188      12     2420      10292       0.02   2948   0 vmware-usbarbitrator64
    119       9     1520       7348       0.03   5360   0 VSSVC
     89       8      956       4964       0.50    808   0 wininit
    206      10     2140      10776       0.83    856   1 winlogon
    138       9     1736       6660       0.05   2328   0 wlanext
    149      11     8012      14168       1.03   1036   0 WmiPrvSE
    275      11     6044      13424       1.34   6944   0 WmiPrvSE
    317      14    24476      13184       0.19   1488   0 WUDFHost
